"id","video_id","title","description","channel_id","channel_name","publish_time","category","sub_category","duration","view_count","like_count","dislike_count","comment_count","is_available"
"68","nlqkp0P0onU","Recreating Pointer Sisters live in a single take | Jump (For My Love) | Sing It Live","Hello Everyone, welcome to Sing it Live, this video is about ""Recreating Pointer Sisters live in a single take | Jump (For My Love) ...","UC6J_0b7PmEmsMBwnZ2adDFA","Singit Live","2024-07-26T23:00:23Z","Music","Pop music 2024","262","75267","6194","0","646","1"
"69","E75WJ1dh2X0","Taylor swift edit #music #newmusic #song #pop #netflixseries #newsong #newalbums",,"UCdpuFZPAtqgA_ShAlwZIJNw","•𝐄𝐋𝟑𝐕𝐄𝐍𝐒𝐕𝐎𝐈𝐃•","2024-07-22T17:57:21Z","Music","Pop music 2024","19","9002","728","0","35","1"
"70","fGF10RLUm1U","K Garu | Official Music Video |","In this haunting tale of love and loss, 'Fragments of her follows desperate search for solace in memories of his lost love.","UCz-K1mZId0h67tQzDTlUgPw","John Rai","2024-07-29T14:32:12Z","Music","Pop music 2024","391","804916","60539","0","3291","1"
"71","DDY5aGqPsz8","What if pop songs had guitar solos?","You can learn EVERY SINGLE one of these solos at https://www.royzivmusic.com/courses Watch PART 2 Over here: ...","UC7fK9bfLXpVpM83RUFA_jjw","RoyZivMusic","2020-03-05T21:08:52Z","Music","Pop music 2024","344","1741174","130737","0","6799","1"
"72","kd5LJ4r-vEY","XG - SOMETHING AIN&#39;T RIGHT (Official Music Video)","XG SOMETHING AIN'T RIGHT 2024.07.26 FRI Streaming/Download https://XG.lnk.to/SOMETHING_AINT_RIGHT ------- XG 2nd ...","UC12HMtO5MYph9dCZZ7yygng","XG","2024-07-26T09:00:08Z","Music","Pop music 2024","198","4211715","312592","0","13404","1"
"73","M46BCQXyn-k","Sajjan Raj Vaidya - Nepali Angreji [Official Release | Visualizer]","What does a Nepali look like, sound like, and talk like? Who gets to be Nepali? Who does not? Who decides? Official Music video ...","UClFO6ULKU2XXQ_zb76JMUPQ","Sajjan Raj Vaidya","2024-07-13T13:32:28Z","Music","Pop music 2024","209","535624","39046","0","2047","0"
"74","hvfZyaTInFU","K-POP 4th Gen. Male Music Artist Group YouTube Subscribers count 2021-2024 #straykids #txt #kpop","This video shows the number of YouTube Subscribers of the 4th generation K-pop Male music artist group. 2021-2024.5 #shorts ...","UCUkg_Ioh9fOx9gs5nFDyyzw","Dynamic graph","2024-05-25T05:45:00Z","Music","Pop music 2024","25","288576","20761","0","537","1"
"75","NgymYI2Bh-Y","Dizmo - Commando (Official Music Video) Dir Sammie Dee &amp; Scotch Tss","newmusic #hiphop #commando #dizmo #music #zambia #malawi Dizmo - Commando Dive into the electrifying world of ...","UC-GbIZKgDsqxjfPwGAPheBA","Dizmo","2024-07-30T06:00:08Z","Music","Pop music 2024","276","204705","14100","0","1107","1"
"76","QwYx6h4CXuw","NEW Filipina pop star?! hehe full vid on channel 🫶🏼 #music #musicvideo #filipino #american",,"UCCDotW9D0t8a2b-wpJtuvHg","Star Abelar","2024-07-27T04:03:29Z","Music","Pop music 2024","26","107196","7290","0","163","1"
"77","0PvFjThrzA4","K-POP 4th Gen. Singer Group Instagram followers count 2020-2024 #aespa #straykids #itzy","This video shows the number of Instagram followers of the 4th generation K-pop music artist group. 2020-2024 #short #txt ...","UCUkg_Ioh9fOx9gs5nFDyyzw","Dynamic graph","2024-05-12T12:45:00Z","Music","Pop music 2024","44","790472","52453","0","1374","1"
"78","opGTDYjOCVE","K-POP 4th Gen. Music Artist Group YouTube Subscribers count 2021-2024 #straykids #itzy #newjeans","This video shows the number of YouTube Subscribers of the 4th generation K-pop music artist group. 2021-2024.5 #shorts ...","UCUkg_Ioh9fOx9gs5nFDyyzw","Dynamic graph","2024-05-26T10:45:01Z","Music","Pop music 2024","38","1640952","101839","0","1982","1"
"79","L7aw_fbmAIc","&#39;The Way You Make Me Feel&#39; (MICHAEL JACKSON) Cover by The HSCC","'The Way You Make Me Feel' (Michael Jackson) Cover Performed by The HSCC featuring Kat Jade Concert Details and enquiries ...","UCPbEcJyVcETaWrubYOg4UTw","The Hindley Street Country Club","2024-07-25T22:00:21Z","Music","Pop music 2024","286","161595","9288","0","740","1"
"80","KerKU3XieUs","Eurovision Top 20 Most Watched: July 2024 | #UnitedByMusic","Subscribe and to Eurovision https://www.youtube.com/user/eurovisi… ​ Join in using the hashtag: #eurovisiontop20 Each ...","UCRpjHHu8ivVWs73uxHlWwFA","Eurovision Song Contest","2024-08-01T18:00:11Z","Music","Pop music 2024","946","71473","4071","0","644","1"
"81","op2bzbbMSus","K-POP 3th Gen. Music Artist Group YouTube Subscribers count 2021-2024 #blackpink #bts #twice","This video shows the number of YouTube Subscribers of the 3th generation K-pop music artist group. 2021-2024.5 #kpop ...","UCUkg_Ioh9fOx9gs5nFDyyzw","Dynamic graph","2024-05-31T14:15:05Z","Music","Pop music 2024","35","110826","6233","0","243","1"
"82","Zli42SrlgF0","Celine Dion Olympics Performance 1996 Vs. 2024 #shorts #celinedion #olympics",,"UCLxZ5uCxBfJo9NueRX4ZcwA","Jarred Jermaine","2024-07-27T20:10:16Z","Music","Pop music 2024","37","269896","15131","0","311","1"
"83","kCBov1UIey8","Top 5 PHONK songs of 2024 (so far)",,"UC04BY9XdbTltt3PYOaGGMkA","TheonlyMajed","2024-03-26T20:17:54Z","Music","Pop music 2024","61","28169298","1541864","0","40583","1"
"84","UdZRDY3AT74","Charli XCX Performs “So I” | Billboard Women In Music 2024","Charli XCX performs “So I” at Billboard's Women In Music 2024. ▻▻ Subscribe for more music news: http://blbrd.cm/Proracf ...","UCsVcseUYbYjldc-XgcsiEbg","Billboard","2024-03-08T02:30:14Z","Music","Pop music 2024","241","346674","18907","0","643","1"
"85","q-snevYRxAo","sabrina carpenter&#39;s most streamed songs on spotify #sabrinacarpenter #pop #music #viral #shorts","sabrina carpenter's most streamed songs on spotify #sabrinacarpenter #pop #music #viral #shorts fyp,viral,viral shorts,most ...","UC-QfsIIakT6YZtDu6aSnV9w","Melody Metrics","2024-07-29T17:00:41Z","Music","Pop music 2024","60","10064","527","0","6","1"
